指标,数值,数据来源,年份
高血压患病率（18岁及以上）,27.8%,《成人高血压合并2型糖尿病和血脂异常基层防治中国专家共识（2024年版）》,2024
糖尿病患病率（18岁及以上）,12.4%,《成人高血压合并2型糖尿病和血脂异常基层防治中国专家共识（2024年版）》,2024
血脂异常患病率（18岁及以上）,33.8%,《成人高血压合并2型糖尿病和血脂异常基层防治中国专家共识（2024年版）》,2024
高血压知晓率,46.9%,十三五高血压调查（2012-2015）,2012-2015
高血压治疗率,40.7%,十三五高血压调查（2012-2015）,2012-2015
高血压控制率,15.3%,十三五高血压调查（2012-2015）,2012-2015
糖尿病知晓率,36.7%,中国慢性病与危险因素调查（2018-2019）,2018-2019
糖尿病治疗率,32.9%,中国慢性病与危险因素调查（2018-2019）,2018-2019
糖尿病控制率,50.1%,中国慢性病与危险因素调查（2018-2019）,2018-2019
在管高血压患者血压控制率,67.72%,《成人高血压合并2型糖尿病和血脂异常基层防治中国专家共识（2024年版）》,2024
在管糖尿病患者血糖控制率,33.1%,《成人高血压合并2型糖尿病和血脂异常基层防治中国专家共识（2024年版）》,2024
