指标,数值,数据来源,年份
全国基层医疗卫生机构总数,104万个,国家卫健委2025年11月新闻发布会,2025
乡镇卫生院数量,3.33万个,国家卫健委2025年11月新闻发布会,2025
村卫生室数量,57.04万个,国家卫健委2025年11月新闻发布会,2025
社区卫生服务中心数量,1.02万个,国家卫健委2025年11月新闻发布会,2025
社区卫生服务站数量,2.71万个,国家卫健委2025年11月新闻发布会,2025
基层医疗卫生机构诊疗人次（2024年）,52.9亿人次,《2024年我国卫生健康事业发展统计公报》,2024
乡镇卫生院、社区卫生服务中心(站)、村卫生室诊疗人次,39.8亿人次,《2024年我国卫生健康事业发展统计公报》,2024
乡镇卫生院医师日均担负诊疗人次,9.7人次,《2024年我国卫生健康事业发展统计公报》,2024
社区卫生服务中心医师日均担负诊疗人次,16.3人次,《2024年我国卫生健康事业发展统计公报》,2024
社区卫生服务站医师日均担负诊疗人次,14.4人次,《2024年我国卫生健康事业发展统计公报》,2024
平均每个村卫生室年诊疗量,2520人次,《2024年我国卫生健康事业发展统计公报》,2024
基层医疗卫生机构入院人次,4539.7万人次,《2024年我国卫生健康事业发展统计公报》,2024
基层医疗卫生机构诊疗量占全国比重,66.6%,国家卫健委2025年11月新闻发布会,2024
